nc Variable	Variable	Units	Description
var44	NO2+NO3_D_CONC_BOTTLE	umol/kg	Concentration of dissolved nitrate plus nitrite samples may or may not have been filtered
var45	NO2+NO3_LL_D_CONC_BOTTLE	umol/kg	Concentration of dissolved nitrate plus nitrite  determined by long path length spectrophotometry, samples may or may not have been filtered
var46	NH4_D_CONC_BOTTLE	umol/kg	Concentration of dissolved ammonium, samples may or may not have been filtered
var47	TALK_D_CONC_BOTTLE	umol/kg	Concentration of total alkalinity
var48	DIC_D_CONC_BOTTLE	umol/kg	Concentration of dissolved inorganic carbon
var49	PH_SWS_BOTTLE		pH, referred to seawater scale
var50	PH_TOT_BOTTLE		pH, referred to total scale
var51	DOC_D_CONC_BOTTLE	umol/kg	Concentration of dissolved organic carbon
var52	TDN_D_CONC_BOTTLE	umol/kg	Total dissolved nitrogen from BOTTLE sample. Metadata must include analytcial method, filter type and pore size.
var53	PHOSPHATE_D_CONC_PUMP	umol/kg	Concentration of dissolved phosphate in a water sample collected using a bottle attached to a pump, samples may or may not have been filtered
var54	SILICATE_D_CONC_PUMP	umol/kg	Concentration of dissolved silicate (silicic acid) in a water sample collected using a bottle attached to a pump, samples may or may not have been filtered
var55	NITRATE_D_CONC_PUMP	umol/kg	Concentration of dissolved nitrate in a water sample collected using a bottle attached to a pump, samples may or may not have been filtered
var56	NITRITE_D_CONC_PUMP	umol/kg	Concentration of dissolved nitrite in a water sample collected using a bottle attached to a pump, samples may or may not have been filtered
var57	PHOSPHATE_D_CONC_FISH	umol/kg	Concentration of dissolved phosphate, samples may or may not have been filtered
var58	PHOSPHATE_LL_D_CONC_FISH	umol/kg	Concentration of low-level dissolved phosphate determined by long path length spectrophotometry using filtered seawater
var59	SILICATE_D_CONC_FISH	umol/kg	Concentration of dissolved silicate (silicic acid), samples may or may not have been filtered
var60	NITRATE_D_CONC_FISH	umol/kg	Concentration of dissolved nitrate, samples may or may not have been filtered
var61	NITRATE_LL_D_CONC_FISH	umol/kg	Concentration of low-level dissolved nitrate determined by long path length spectrophotometry using filtered seawter
var62	NITRITE_D_CONC_FISH	umol/kg	Concentration of dissolved nitrite, samples may or may not have been filtered
var63	NITRITE_LL_D_CONC_FISH	umol/kg	Concentration of low-level dissolved nitrite determined by long path length spectrophotometry using filtered seawater
var64	NO2+NO3_D_CONC_FISH	umol/kg	Concentration of dissolved nitrate plus nitrite, samples may or may not have been filtered
var65	NO2+NO3_LL_D_CONC_FISH	umol/kg	Concentration of dissolved nitrate plus nitrite  determined by long path length spectrophotometry, samples may or may not have been filtered
var66	DOC_D_CONC_FISH	umol/kg	Concentration of dissolved organic carbon
var67	PHOSPHATE_D_CONC_UWAY	umol/kg	Concentration of dissolved phosphate, samples may or may not have been filtered
var68	SILICATE_D_CONC_UWAY	umol/kg	Concentration of dissolved silicate (silicic acid), samples may or may not have been filtered
var69	NITRATE_D_CONC_UWAY	umol/kg	Concentration of dissolved nitrate, samples may or may not have been filtered
var70	NITRITE_D_CONC_UWAY	umol/kg	Concentration of dissolved nitrite, samples may or may not have been filtered
var71	DOC_D_CONC_UWAY	umol/kg	Concentration of dissolved organic carbon
var72	NITRATE_D_CONC_BOAT_PUMP	umol/kg	Concentration of dissolved nitrate, samples may or may not have been filtered
var73	NITRITE_D_CONC_BOAT_PUMP	umol/kg	Concentration of dissolved nitrite, samples may or may not have been filtered
var74	DIC_13_12_D_DELTA_BOTTLE	per 10^3	Atom ratio of dissolved C isotopes in dissolved inorganic carbon expressed in conventional delta notation referenced to {PDB}
var75	DIC_14_12_D_DELTA_BOTTLE	per 10^3	DELTA 14C (radiocarbon) of DIC
var76	He_3_4_D_DELTA_BOTTLE	%	Delta 3He of dissolved He referenced to air
var77	TRITIUM_D_CONC_BOTTLE	TU	Concentration of tritium
var78	H2O_2_1_D_DELTA_BOTTLE	per 10^3	Atom ratio of hydrogen isotopes in water expressed in conventional DELTA notation referenced to {VSMOW}
var79	H2O_18_16_D_DELTA_BOTTLE	per 10^3	Atom ratio of oxygen isotopes in water expressed in conventional DELTA notation referenced to {VSMOW}
var80	NITRATE_15_14_D_DELTA_BOTTLE	per 10^3	Atom ratio of dissolved N isotopes in nitrate expressed in conventional DELTA notation  referenced to Air N2, samples may or may not have been filtered
var81	NITRATE_18_16_D_DELTA_BOTTLE	per 10^3	Atom ratio of dissolved O isotopes in nitrate expressed in conventional DELTA notation referenced to {VSMOW}, samples may or may not have been filtered
var82	SILICATE_30_28_D_DELTA_BOTTLE	per 10^3	Atom ratio of dissolved silicate (silicic acid) Si isotopes expressed in conventional DELTA notation referenced to {NBS28}
var83	Al_D_CONC_BOTTLE	nmol/kg	Concentration of dissolved Al
var84	Ba_D_CONC_BOTTLE	nmol/kg	Concentration of dissolved Ba
var85	Cd_D_CONC_BOTTLE	nmol/kg	Concentration of dissolved Cd
var86	Co_D_CONC_BOTTLE	pmol/kg	Concentration of dissolved Co (after UV oxidation)
var87	Cu_D_CONC_BOTTLE	nmol/kg	Concentration of dissolved Cu
var88	Fe_D_CONC_BOTTLE	nmol/kg	Concentration of dissolved Fe
var89	Fe_II_D_CONC_BOTTLE	nmol/kg	Concentration of dissolved Fe(II)
var90	Fe_S_CONC_BOTTLE	nmol/kg	Concentration of operationally defined soluble Fe (colloids excluded)
var91	Ga_D_CONC_BOTTLE	pmol/kg	Concentration of dissolved Ga
var92	Hf_D_CONC_BOTTLE	pmol/kg	Concentration of dissolved Hf
var93	Hg_0_D_CONC_BOTTLE	pmol/kg	Concentration of dissolved elemental Hg (0)
var94	Hg_D_CONC_BOTTLE	pmol/kg	Concentration of dissolved Hg
var95	Hg_DM_D_CONC_BOTTLE	pmol/kg	Concentration of dissolved DiMethyl Hg
var96	Hg_Me_D_CONC_BOTTLE	pmol/kg	Concentration of dissolved TotalMethyl Hg
var97	Hg_MM_D_CONC_BOTTLE	pmol/kg	Concentration of dissolved MonoMethyl Hg
var98	Hg_T_CONC_BOTTLE	pmol/kg	Concentration of total Hg (unfiltered, dissolved plus total particulate)
var99	I_D_CONC_BOTTLE	nmol/kg	Concentration of total dissolved Iodine
var100	I_V_D_CONC_BOTTLE	nmol/kg	Concentration of dissolved Iodate, iodine in the V oxidation state
var101	Mn_D_CONC_BOTTLE	nmol/kg	Concentration of dissolved Mn, method may include Mn(II) plus Mn(III)
var102	Mo_D_CONC_BOTTLE	nmol/kg	Concentration of dissolved Mo
var103	Nb_D_CONC_BOTTLE	pmol/kg	Concentration of dissolved Nb
var104	Ni_D_CONC_BOTTLE	nmol/kg	Concentration of dissolved Ni
var105	Pb_D_CONC_BOTTLE	pmol/kg	Concentration of dissolved Pb
var106	Pb_TD_CONC_BOTTLE	pmol/kg	Concentration of total dissolvable Pb (dissolved plus reactive particulate phase that dissolves while stored acidified)
var107	Ti_D_CONC_BOTTLE	pmol/kg	Concentration of dissolved Ti
var108	U_D_CONC_BOTTLE	nmol/kg	Concentration of dissolved U
var109	V_D_CONC_BOTTLE	nmol/kg	Concentration of dissolved V
var110	Zn_D_CONC_BOTTLE	nmol/kg	Concentration of dissolved Zn
var111	Hg_Me_T_CONC_BOTTLE	pmol/kg	Concentration of total (unfiltered, dissolved plus total particulate) TotalMethyl Hg (mono + di methyl Hg)
var112	Al_D_CONC_FISH	nmol/kg	Concentration of dissolved Al
var113	Ba_D_CONC_FISH	nmol/kg	Concentration of dissolved Ba
var114	Cd_D_CONC_FISH	nmol/kg	Concentration of dissolved Cd
var115	Co_D_CONC_FISH	pmol/kg	Concentration of dissolved Co (after UV oxidation)
var116	Cu_D_CONC_FISH	nmol/kg	Concentration of dissolved Cu
var117	Fe_D_CONC_FISH	nmol/kg	Concentration of dissolved Fe
var118	Fe_II_D_CONC_FISH	nmol/kg	Concentration of dissolved Fe(II)
var119	Fe_S_CONC_FISH	nmol/kg	Concentration of operationally defined soluble Fe (colloids excluded)
var120	Ga_D_CONC_FISH	pmol/kg	Concentration of dissolved Ga
var121	Hf_D_CONC_FISH	pmol/kg	Concentration of dissolved Hf
var122	Hg_D_CONC_FISH	pmol/kg	Concentration of dissolved Hg
var123	Mn_D_CONC_FISH	nmol/kg	Concentration of dissolved Mn, method may include Mn(II) plus Mn(III)
var124	Mo_D_CONC_FISH	nmol/kg	Concentration of dissolved Mo
var125	Ni_D_CONC_FISH	nmol/kg	Concentration of dissolved Ni
var126	Pb_D_CONC_FISH	pmol/kg	Concentration of dissolved Pb
var127	Pb_TD_CONC_FISH	pmol/kg	Concentration of total dissolvable Pb (dissolved plus reactive particulate phase that dissolves while stored acidified)
var128	Ti_D_CONC_FISH	pmol/kg	Concentration of dissolved Ti
var129	V_D_CONC_FISH	nmol/kg	Concentration of dissolved V
var130	Zn_D_CONC_FISH	nmol/kg	Concentration of dissolved Zn
var131	Hf_D_CONC_UWAY	pmol/kg	Concentration of dissolved Hf
var132	Al_D_CONC_BOAT_PUMP	nmol/kg	Concentration of dissolved Al
var133	Ba_D_CONC_BOAT_PUMP	nmol/kg	Concentration of dissolved Ba
var134	Cd_D_CONC_BOAT_PUMP	nmol/kg	Concentration of dissolved Cd
var135	Co_D_CONC_BOAT_PUMP	pmol/kg	Concentration of dissolved Co (after UV oxidation)
var136	Cu_D_CONC_BOAT_PUMP	nmol/kg	Concentration of dissolved Cu
var137	Fe_D_CONC_BOAT_PUMP	nmol/kg	Concentration of dissolved Fe
var138	Fe_II_D_CONC_BOAT_PUMP	nmol/kg	Concentration of dissolved Fe(II)
var139	Ga_D_CONC_BOAT_PUMP	pmol/kg	Concentration of dissolved Ga
var140	Mn_D_CONC_BOAT_PUMP	nmol/kg	Concentration of dissolved Mn, method may include Mn(II) plus Mn(III)
var141	Ni_D_CONC_BOAT_PUMP	nmol/kg	Concentration of dissolved Ni
var142	Pb_D_CONC_BOAT_PUMP	pmol/kg	Concentration of dissolved Pb
var143	V_D_CONC_BOAT_PUMP	nmol/kg	Concentration of dissolved V
var144	Zn_D_CONC_BOAT_PUMP	nmol/kg	Concentration of dissolved Zn
var145	Al_D_CONC_SUBICE_PUMP	nmol/kg	Concentration of dissolved Al
var146	Ba_D_CONC_SUBICE_PUMP	nmol/kg	Concentration of dissolved Ba
var147	Cd_D_CONC_SUBICE_PUMP	nmol/kg	Concentration of dissolved Cd
var148	Co_D_CONC_SUBICE_PUMP	pmol/kg	Concentration of dissolved Co (after UV oxidation)
var149	Cu_D_CONC_SUBICE_PUMP	nmol/kg	Concentration of dissolved Cu
var150	Fe_D_CONC_SUBICE_PUMP	nmol/kg	Concentration of dissolved Fe
var151	Ga_D_CONC_SUBICE_PUMP	pmol/kg	Concentration of dissolved Ga
var152	Mn_D_CONC_SUBICE_PUMP	nmol/kg	Concentration of dissolved Mn, method may include Mn(II) plus Mn(III)
var153	Ni_D_CONC_SUBICE_PUMP	nmol/kg	Concentration of dissolved Ni
var154	Pb_D_CONC_SUBICE_PUMP	pmol/kg	Concentration of dissolved Pb
var155	V_D_CONC_SUBICE_PUMP	nmol/kg	Concentration of dissolved V
var156	Zn_D_CONC_SUBICE_PUMP	nmol/kg	Concentration of dissolved Zn
var157	Ba_138_134_D_DELTA_BOTTLE	per 10^3	Atom ratio of dissolved Ba isotopes expressed in conventional DELTA notation referenced to {NIST 3104a}
var158	Cd_114_110_D_DELTA_BOTTLE	per 10^3	Atom ratio of dissolved Cd isotopes expressed in conventional DELTA notation referenced to {NIST3108}
var159	Cu_65_63_D_DELTA_BOTTLE	per 10^3	Atom ratio of dissolved Cu isotopes expressed in conventional DELTA notation referenced to {NIST976}
var160	Fe_56_54_D_DELTA_BOTTLE	per 10^3	Atom ratio of dissolved Fe isotopes expressed in conventional DELTA notation referenced to {IRMM-14}
var161	Ni_60_58_D_DELTA_BOTTLE	per 10^3	Atom ratio of dissolved Ni isotopes expressed in conventional DELTA notation referenced to {NIST986}
var162	Zn_66_64_D_DELTA_BOTTLE	per 10^3	Atom ratio of dissolved Zn isotopes expressed in conventional DELTA notation referenced to {Lyon-JMC}
var163	Cd_114_110_D_DELTA_FISH	per 10^3	Atom ratio of dissolved Cd isotopes expressed in conventional DELTA notation referenced to {NIST3108}
var164	Fe_56_54_D_DELTA_FISH	per 10^3	Atom ratio of dissolved Fe isotopes expressed in conventional DELTA notation referenced to {IRMM-14}
var165	Ni_60_58_D_DELTA_FISH	per 10^3	Atom ratio of dissolved Ni isotopes expressed in conventional DELTA notation referenced to {NIST986}
var166	Zn_66_64_D_DELTA_FISH	per 10^3	Atom ratio of dissolved Zn isotopes expressed in conventional DELTA notation referenced to {Lyon-JMC}
var167	Ba_138_134_D_DELTA_BOAT_PUMP	per 10^3	Atom ratio of dissolved Ba isotopes expressed in conventional DELTA notation referenced to {NIST 3104a}
var168	Ba_138_134_D_DELTA_SUBICE_PUMP	per 10^3	Atom ratio of dissolved Ba isotopes expressed in conventional DELTA notation referenced to {NIST 3104a}
var169	Cs_137_D_CONC_BOTTLE	uBq/kg	Concentration (or activity) of dissolved 137Cs
var170	I_129_D_CONC_BOTTLE	atoms/kg	Concentration of dissolved 129I
var171	Np_237_D_CONC_BOTTLE	uBq/kg	Concentration of dissolved 237Np
var172	Pu_239_D_CONC_BOTTLE	uBq/kg	Concentration of dissolved 239Pu
var173	Pu_239_Pu_240_D_CONC_BOTTLE	uBq/kg	Concentration (or activity) of dissolved 239Pu+240Pu
var174	Pu_240_D_CONC_BOTTLE	uBq/kg	Concentration of dissolved 240Pu
var175	U_236_238_T_RATIO_BOTTLE	per 10^12	Atom ratio of given isotopes for total (unfiltered, dissolved plus total particulate) U expressed in parts per 10^12
var176	U_236_D_CONC_BOTTLE	atoms/kg	Concentration of dissolved 236U
var177	U_236_T_CONC_BOTTLE	atoms/kg	Concentration of total (unfiltered, dissolved plus total particulate) 236U
var178	U_236_D_CONC_FISH	atoms/kg	Concentration of dissolved 236U
var179	Cs_137_D_CONC_UWAY	uBq/kg	Concentration (or activity) of dissolved 137Cs
var180	Pu_239_Pu_240_D_CONC_UWAY	uBq/kg	Concentration (or activity) of dissolved 239Pu+240Pu
var181	Pb_206_204_D_RATIO_BOTTLE		Atom ratio of given isotopes for dissolved Pb referenced to {NBS981}
var182	Pb_206_204_TD_RATIO_BOTTLE		Atom ratio of given isotopes of total dissolvable Pb isotopes referenced to {NBS981} (dissolved plus reactive particulate phase that dissolves while stored acidified)
var183	Pb_206_207_D_RATIO_BOTTLE		Atom ratio of given isotopes for dissolved Pb referenced to {NBS981}
var184	Pb_206_207_TD_RATIO_BOTTLE		Atom ratio of given isotopes of total dissolvable Pb isotopes referenced to {NBS981} (dissolved plus reactive particulate phase that dissolves while stored acidified)
var185	Pb_208_207_D_RATIO_BOTTLE		Atom ratio of given isotopes for dissolved Pb referenced to {NBS981}
var186	Pb_208_207_TD_RATIO_BOTTLE		Atom ratio of given isotopes of total dissolvable Pb isotopes referenced to {NBS981} (dissolved plus reactive particulate phase that dissolves while stored acidified)
var187	Pb_207_204_TD_RATIO_BOTTLE		Atom ratio of given isotopes of total dissolvable Pb isotopes referenced to {NBS981} (dissolved plus reactive particulate phase that dissolves while stored acidified)
var188	Pb_208_204_TD_RATIO_BOTTLE		Atom ratio of given isotopes of total dissolvable Pb isotopes referenced to {NBS981} (dissolved plus reactive particulate phase that dissolves while stored acidified)
var189	Pb_208_206_D_RATIO_BOTTLE		Atom ratio of given isotopes for dissolved Pb referenced to {NBS981}
var190	Pb_208_206_TD_RATIO_BOTTLE		Atom ratio of given isotopes of total dissolvable Pb isotopes referenced to {NBS981} (dissolved plus reactive particulate phase that dissolves while stored acidified)
var191	Pb_206_204_D_RATIO_FISH		Atom ratio of given isotopes for dissolved Pb referenced to {NBS981}
var192	Pb_206_204_TD_RATIO_FISH		Atom ratio of given isotopes of total dissolvable Pb isotopes referenced to {NBS981} (dissolved plus reactive particulate phase that dissolves while stored acidified)
var193	Pb_206_207_D_RATIO_FISH		Atom ratio of given isotopes for dissolved Pb referenced to {NBS981}
var194	Pb_206_207_TD_RATIO_FISH		Atom ratio of given isotopes of total dissolvable Pb isotopes referenced to {NBS981} (dissolved plus reactive particulate phase that dissolves while stored acidified)
var195	Pb_208_207_D_RATIO_FISH		Atom ratio of given isotopes for dissolved Pb referenced to {NBS981}
var196	Pb_208_207_TD_RATIO_FISH		Atom ratio of given isotopes of total dissolvable Pb isotopes referenced to {NBS981} (dissolved plus reactive particulate phase that dissolves while stored acidified)
var197	Pb_207_204_TD_RATIO_FISH		Atom ratio of given isotopes of total dissolvable Pb isotopes referenced to {NBS981} (dissolved plus reactive particulate phase that dissolves while stored acidified)
var198	Pb_208_204_TD_RATIO_FISH		Atom ratio of given isotopes of total dissolvable Pb isotopes referenced to {NBS981} (dissolved plus reactive particulate phase that dissolves while stored acidified)
var199	Pb_208_206_TD_RATIO_FISH		Atom ratio of given isotopes of total dissolvable Pb isotopes referenced to {NBS981} (dissolved plus reactive particulate phase that dissolves while stored acidified)
var200	Pb_206_204_D_RATIO_BOAT_PUMP		Atom ratio of given isotopes for dissolved Pb referenced to {NBS981}
var201	Pb_206_207_D_RATIO_BOAT_PUMP		Atom ratio of given isotopes for dissolved Pb referenced to {NBS981}
var202	Pb_208_207_D_RATIO_BOAT_PUMP		Atom ratio of given isotopes for dissolved Pb referenced to {NBS981}
var203	Pa_231_D_CONC_BOTTLE	uBq/kg	Concentration (or activity) of dissolved 231Pa
var204	Pb_210_D_CONC_BOTTLE	mBq/kg	Concentration (or activity) of dissolved 210Pb
var205	Po_210_D_CONC_BOTTLE	mBq/kg	Concentration (or activity) of dissolved 210Po
var206	Ra_224_D_CONC_BOTTLE	mBq/kg	Concentration (or activity) of dissolved 224Ra
var207	Ra_226_D_CONC_BOTTLE	mBq/kg	Concentration (or activity) of dissolved 226Ra
var208	Ra_228_T_CONC_BOTTLE	mBq/kg	Concentration (or activity) of total (unfiltered, dissolved plus total particulate) 228Ra
var209	Ra_228_D_CONC_BOTTLE	mBq/kg	Concentration (or activity) of dissolved 228Ra
var210	Th_230_T_CONC_BOTTLE	uBq/kg	Concentration (or activity) of total (unfiltered, dissolved plus total particulate) 230Th
var211	Th_230_D_CONC_BOTTLE	uBq/kg	Concentration (or activity) of dissolved 230Th
var212	Th_232_T_CONC_BOTTLE	pmol/kg	Concentration (or activity) of total (unfiltered, dissolved plus total particulate) 232Th
var213	Th_232_D_CONC_BOTTLE	pmol/kg	Concentration (or activity) of dissolved 232Th
var214	Th_234_T_CONC_BOTTLE	mBq/kg	Concentration (or activity) of total (unfiltered, dissolved plus total particulate) 234Th
var215	Ac_227_D_CONC_PUMP	uBq/kg	Concentration (or activity) of dissolved 227AC
var216	Be_7_T_CONC_PUMP	uBq/kg	Concentration (or activity) of total (unfiltered, dissolved plus total particulate) 7Be
var217	Be_7_D_CONC_PUMP	uBq/kg	Concentration of dissolved 7Be
var218	Ra_223_D_CONC_PUMP	mBq/kg	Concentration (or activity) of dissolved 223Ra
var219	Ra_224_D_CONC_PUMP	mBq/kg	Concentration (or activity) of dissolved 224Ra
var220	Ra_226_D_CONC_PUMP	mBq/kg	Concentration (or activity) of dissolved 226Ra
var221	Ra_228_T_CONC_PUMP	mBq/kg	Concentration (or activity) of total (unfiltered, dissolved plus total particulate) 228Ra
var222	Ra_228_D_CONC_PUMP	mBq/kg	Concentration (or activity) of dissolved 228Ra
var223	Th_228_D_CONC_PUMP	uBq/kg	Concentration (or activity) of dissolved 228Th
var224	Th_234_T_CONC_PUMP	mBq/kg	Concentration (or activity) of total (unfiltered, dissolved plus total particulate) 234Th
var225	Pa_231_D_CONC_FISH	uBq/kg	Concentration (or activity) of dissolved 231Pa
var226	Pb_210_D_CONC_FISH	mBq/kg	Concentration (or activity) of dissolved 210Pb
var227	Po_210_D_CONC_FISH	mBq/kg	Concentration (or activity) of dissolved 210Po
var228	Ra_226_D_CONC_FISH	mBq/kg	Concentration (or activity) of dissolved 226Ra
var229	Ra_228_T_CONC_FISH	mBq/kg	Concentration (or activity) of total (unfiltered, dissolved plus total particulate) 228Ra
var230	Th_230_D_CONC_FISH	uBq/kg	Concentration (or activity) of dissolved 230Th
var231	Th_232_D_CONC_FISH	pmol/kg	Concentration (or activity) of dissolved 232Th
var232	Th_234_T_CONC_FISH	mBq/kg	Concentration (or activity) of total (unfiltered, dissolved plus total particulate) 234Th
var233	Pa_231_D_CONC_UWAY	uBq/kg	Concentration (or activity) of dissolved 231Pa
var234	Po_210_D_CONC_UWAY	mBq/kg	Concentration (or activity) of dissolved 210Po
var235	Pb_210_D_CONC_UWAY	mBq/kg	Concentration (or activity) of dissolved 210Pb
var236	Ra_224_D_CONC_UWAY	mBq/kg	Concentration (or activity) of dissolved 224Ra
var237	Ra_226_D_CONC_UWAY	mBq/kg	Concentration (or activity) of dissolved 226Ra
var238	Ra_228_D_CONC_UWAY	mBq/kg	Concentration (or activity) of dissolved 228Ra
var239	Th_228_D_CONC_UWAY	uBq/kg	Concentration (or activity) of dissolved 228Th
var240	Th_230_D_CONC_UWAY	uBq/kg	Concentration (or activity) of dissolved 230Th
var241	Th_232_D_CONC_UWAY	pmol/kg	Concentration (or activity) of dissolved 232Th
var242	Th_234_T_CONC_UWAY	mBq/kg	Concentration (or activity) of total (unfiltered, dissolved plus total particulate) 234Th
var243	Pa_231_D_CONC_BOAT_PUMP	uBq/kg	Concentration (or activity) of dissolved 231Pa
var244	Th_230_D_CONC_BOAT_PUMP	uBq/kg	Concentration (or activity) of dissolved 230Th
var245	Th_232_D_CONC_BOAT_PUMP	pmol/kg	Concentration (or activity) of dissolved 232Th
var246	Pa_231_D_CONC_SUBICE_PUMP	uBq/kg	Concentration (or activity) of dissolved 231Pa
var247	Th_230_D_CONC_SUBICE_PUMP	uBq/kg	Concentration (or activity) of dissolved 230Th
var248	Th_232_D_CONC_SUBICE_PUMP	pmol/kg	Concentration (or activity) of dissolved 232Th
var249	Th_234_T_CONC_SUBICE_PUMP	mBq/kg	Concentration (or activity) of total (unfiltered, dissolved plus total particulate) 234Th
var250	Hf_176_177_D_EPSILON_BOTTLE	per 10^4	Atom ratio of dissolved Hf isotopes expressed in conventional EPSILON notation
var251	Nd_143_144_D_EPSILON_BOTTLE	per 10^4	Atom ratio of dissolved Nd isotopes expressed in conventional EPSILON notation
var252	Hf_176_177_D_EPSILON_FISH	per 10^4	Atom ratio of dissolved Hf isotopes expressed in conventional EPSILON notation
var253	Nd_143_144_D_EPSILON_FISH	per 10^4	Atom ratio of dissolved Nd isotopes expressed in conventional EPSILON notation
var254	Nd_143_144_D_EPSILON_UWAY	per 10^4	Atom ratio of dissolved Nd isotopes expressed in conventional EPSILON notation
var255	Y_D_CONC_BOTTLE	pmol/kg	Concentration of dissolved Yttrium
var256	La_D_CONC_BOTTLE	pmol/kg	Concentration of dissolved La
var257	Ce_D_CONC_BOTTLE	pmol/kg	Concentration of dissolved Ce
var258	Pr_D_CONC_BOTTLE	pmol/kg	Concentration of dissolved Pr
var259	Nd_D_CONC_BOTTLE	pmol/kg	Concentration of dissolved Nd
var260	Sm_D_CONC_BOTTLE	pmol/kg	Concentration of dissolved Sm
